관광지명,주소,입장료,휴무일,영업시간,영업일,관광종류,경도,위도
북구청소년회관,대구광역시 북구 검단로 71-17,강좌별 상이,"매월 첫째, 셋째주 일요일","평일 06:00~22:00, 토요일 : 09:00~18:00",월요일 ~ 토요일,문화예술공간,128.616017,35.9058087
대구오페라하우스,대구광역시 북구 호암로 15,해당없음,프로그램마다 상이,프로그램마다 상이,프로그램마다 상이,문화예술공간,128.592187,35.8834012
경북대학교 박물관,대구광역시 북구 대학로 80 경북대학교 박물관,무료,"일요일, 공휴일",10:00~17:00(16:30까지 입장),월요일~토요일,문화예술공간,128.613864,35.8885987
인당뮤지엄,"대구광역시 북구 영송로 15 (태전동,대구보건대)",무료,전시별 상이 ※ 홈페이지(https://museum.dhc.ac.kr) 별도 공지,10:00~17:00,월요일~금요일 ,문화예술공간,128.5440277,35.92684451
구수산도서관,대구광역시 북구 대천로 21,해당없음,"매주 2, 4째주 월요일, 공휴일 및 임시공휴일, 근로자의 날",평일 09:00~22:00 주말 09:00~17:00,휴관일 외 상시,문화예술공간,128.552296,35.9393408
대현도서관,대구광역시 북구 대현남로 43,해당없음,"매주 2, 4째주 월요일, 공휴일 및 임시공휴일, 근로자의 날","어린이자료실(1층) : (평일) 09:00~18:00 / 종합자료실(2층) : (평일) 09:00~20:00 / 주말(1,2층) : 09:00~17:00",휴관일 외 상시,문화예술공간,128.60734,35.8828099
금호강변자전거길,금호강 좌안 둔치 (팔달교 ∼ 검단동 경부고속도로간),해당없음,상시개방,상시개방,상시,북구의길,128.563256,35.8997404
이인성사과나무길,대구광역시 북구 산격2동 1465-54,해당없음,상시개방,상시개방,상시,북구의길,128.609872,35.9029857
안경특화거리,"대구광역시 북구 침산동, 노원동3가 일원 (침산교~노원네거리 : 안경거리)",해당없음,상시개방,상시개방,상시,북구의길,128.582867,35.9004134
이태원길,대구광역시 북구 동천동 897-8,해당없음,상시개방,상시개방 ※ 이태원길 내 업체별 영업시간 상이,상시,북구의길,128.562226,35.9439733
삼성창조캠퍼스,대구광역시 북구 호암로 51,해당없음,상시개방 ※ 캠퍼스 내 업체별 휴무일 상이,상시개방 ※ 캠퍼스 내 업체별 영업시간 상이,상시,기타,128.595923,35.8836097
연암서당골,대구광역시 북구 연암공원로 89,해당없음,연암서당골 내 장소별 휴무일·운영시간 상이 ※ 문의처 : 053-959-7202,연암서당골 내 장소별 휴무일·운영시간 상이 ※ 문의처 : 053-959-7202,연암서당골 내 장소별 휴무일·운영시간 상이 ※ 문의처 : 053-959-7202,기타,128.601327,35.8988449
한국로봇산업진흥원,대구광역시 북구 노원로 77,해당없음,주말 휴무,09:00~18:00,월요일~금요일,기타,128.570487,35.8949067
풍국면,대구광역시 북구 노원로 19,해당없음,※ 업체 공장 운영상황에 따름(문의처 : 053-356-4461),※ 업체 공장 운영상황에 따름(문의처 : 053-356-4461),※ 업체 공장 운영상황에 따름(문의처 : 053-356-4461),기타,128.5648604,35.89213062
고성성당,대구광역시 북구 옥산로 112,해당없음,해당없음,해당없음,상시,옥산로 테마거리,128.5873914,35.88351605
빌리웍스,대구광역시 북구 고성북로10길 41,해당없음 ※ 메뉴별 금액 상이,연중무휴,12:00~22:30(22:10 라스트오더),연중무휴,옥산로 테마거리,128.5884986,35.8831342
옻골동산,대구광역시 북구 구암동 산3-1,해당없음,상시개방,상시,상시,기타,128.577145,35.9440842
한강공원,대구광역시 북구 사수동 810,해당없음,상시개방,상시,상시,기타,128.512999,35.8991307
침산공원,대구광역시 북구 침산동 1344-1,해당없음,상시개방,상시,상시,기타,128.586086,35.8956792
태전도서관,대구광역시 북구 영송로 36-16,해당없음,"매월 첫 번째, 세 번째 월요일, 일요일을 제외한 법정공휴일(단, 공휴일이 일요일인 경우 휴관), 임시공휴일",어린이자료실 : (평일) 09:00~18:00 / 종합자료실 : (평일) 09:00~20:00 / 주말(전 자료실) : 09:00~17:00,상시,기타,128.54538,35.9291244
서계서원,대구광역시 북구 호국로51길 45-17,해당없음,문의처 : 053-951-1948,전화예약 : 053-951-1948,상시,기타,128.5930318,35.9252175
광해군태실,대구광역시 북구 연경동 산136-1,해당없음,문의처 : 053-665-2352,문의처 : 053-665-2352,문의처 : 053-665-2352,기타,128.6148703,35.94719952
EXCO,대구광역시 북구 엑스코로 10,무료 / 행사 참여 시 업체별 입장료 상이함,전시 일정별로 상이,전시 일정별로 상이,전시 일정별로 상이,기타,128.61327,35.9075773
노원동작은도서관,대구광역시 북구 팔달로27길 42-3,해당없음,주말 휴무,09:00~18:00,평일,기타,128.566783,35.8907601
공항교강변공원,대구광역시 북구 복현동 163-16,해당없음,상시개방,해당없음,상시,기타,128.625846,35.9021098
DGB대구은행파크,대구광역시 북구 고성로 191,경기 운영 시 좌석등급별 금액 상이,경기 일정에 따름 ※ 입점 업체별 휴무일은 상이,경기 일정에 따름 ※ 입점 업체별 영업시간 상이,상시,기타,128.588228,35.8812241
금호강생태공원,대구광역시 동구 방촌동 1140,해당없음,상시개방,해당없음,상시,기타,128.665242,35.87430516
미륵불좌상,대구광역시 북구 구암동 52,해당없음,상시개방,상시개방,상시,기타,128.5705493,35.929308
능성세가,대구광역시 북구 서변로3길 47-12,해당없음,문의처 : 053-665-2352,문의처 : 053-665-2352,상시,기타,128.5935954,35.92134121
서명보효자각,대구광역시 북구 연암공원로7길 9,해당없음,문의처 : 053-665-2352,문의처 : 053-665-2352,상시,기타,128.5975007,35.89470443
새심정(터)과 나루터,대구광역시 북구 동변동 550-2,해당없음,문의처 : 053-665-2352,문의처 : 053-665-2352,상시,기타,128.6062336,35.91715025
송계당,대구광역시 북구 서변로3길 47-19,해당없음,문의처 : 053-665-2352,문의처 : 053-665-2352,상시,기타,128.5933054,35.92130344
선사유적전시관,대구광역시 북구 호국로57길 6 유니버시아드레포츠센터 1층,무료,일요일을 제외한 법정 공휴일,"평일 : 10:00~19:00, 주말 : 10:00~18:00(점심시간 : 12:00~13:00)",휴관일 외 상시,기타,128.5978812,35.92785645
삼성상회터,대구광역시 중구 인교동 59-3,해당없음,해당없음,해당없음,해당없음,기타,128.5823471,35.87414904
연경동 천년느티나무,대구광역시 북구 연경동 산136-1,해당없음,해당없음,해당없음,해당없음,기타,128.6158466,35.94448545
연경서원(터),대구광역시 북구 연경동,해당없음,해당없음,해당없음,해당없음,기타,128.628318,35.94733822
미군47보급소,대구광역시 중구 태평로3가,해당없음,해당없음,해당없음,해당없음,기타,128.5880548,35.87641805
대구예술발전소,대구광역시 중구 달성로22길 31-12,무료(기획전시의 경우 입장료 책정될 수도 있음),"매주 월요일, 1월1일, 설날, 추석 당일",하절기(4~10월) : 10:00~19:00 / 동절기(11~3월) : 10:00~18:00,휴관일 외 상시,기타,128.5845143,35.87547916
수창청춘맨숀,대구광역시 중구 달성로22길 27,무료(기획전시의 경우 입장료 책정될 수도 있음),"매주 월요일, 1월1일, 설날, 추석 당일",하절기(4~10월) : 10:00~19:00 / 동절기(11~3월) : 10:00~18:00,휴관일 외 상시,기타,128.5831813,35.87520966
공구골목,대구광역시 중구 인교동 278-9,해당없음,상시개방 ※ 골목 내 업체별 휴무일은 상이,상시개방 ※ 골목 내 업체별 영업시간은 상이,상시 ※ 업체별 상이할 수 있음,기타,128.582449,35.87345354
호암고택,대구광역시 중구 서성로15길 61,해당없음 ※ 외부 관람만 가능,해당없음,해당없음,해당없음 ※ 외부 관람만 가능,기타,128.5841576,35.87236682
오토바이골목,대구광역시 중구 인교동 282,해당없음,상시개방 ※ 골목 내 업체별 휴무일은 상이,상시개방 ※ 골목 내 업체별 영업시간은 상이,상시 ※ 업체별 상이할 수 있음,기타,128.5831759,35.87305363
